subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response
SV032,L,1,2,2,0,0,2
SV032,L,2,3,0,1,1,2
SV032,L,3,2,3,0,1,2
SV032,L,4,3,2,1,0,3
SV032,L,5,3,0,1,0,3
SV032,L,6,3,3,1,1,2
SV032,L,7,3,0,0,1,2
SV032,L,8,2,0,0,1,2
SV032,L,9,3,3,1,1,1
SV032,L,10,3,2,1,0,2
SV032,L,11,3,2,1,0,2
SV032,L,12,2,2,0,0,2
SV032,L,13,3,2,0,0,2
SV032,L,14,3,3,1,0,3
SV032,L,15,2,3,1,1,2
SV032,L,16,3,2,0,1,2
SV032,L,17,3,3,1,1,2
SV032,L,18,2,3,0,0,2
SV032,L,19,2,3,0,1,2
SV032,L,20,3,2,0,0,2
SV032,L,21,3,2,0,0,2
SV032,L,22,3,3,0,1,2
SV032,L,23,2,0,1,1,2
SV032,L,24,2,2,1,1,2
SV032,L,25,2,0,0,0,2
SV032,L,26,3,0,0,0,2
SV032,L,27,2,0,1,1,2
SV032,L,28,3,2,1,1,2
SV032,L,29,3,3,0,1,2
SV032,L,30,3,3,0,1,2
SV032,L,31,3,3,1,0,2
SV032,L,32,2,2,0,0,2
SV032,L,33,2,0,0,1,2
SV032,L,34,3,0,0,1,2
SV032,L,35,3,2,0,1,2
SV032,L,36,2,0,0,0,2
SV032,L,37,2,0,0,1,1
SV032,L,38,2,0,1,0,2
SV032,L,39,3,2,0,1,2
SV032,L,40,2,0,1,0,2
SV032,L,41,3,2,0,0,2
SV032,L,42,3,3,1,0,2
SV032,L,43,3,0,1,0,2
SV032,L,44,3,3,0,0,2
SV032,L,45,3,3,0,0,2
SV032,L,46,3,3,0,1,2
SV032,L,47,2,2,0,0,2
SV032,L,48,2,3,0,1,2
SV032,L,49,3,2,0,1,2
SV032,L,50,2,0,1,0,2
SV032,L,51,2,2,1,0,2
SV032,L,52,3,0,0,1,2
SV032,L,53,3,3,0,1,2
SV032,L,54,3,2,0,1,1
SV032,L,55,3,3,0,0,2
SV032,L,56,3,3,1,1,1
SV032,L,57,2,2,1,0,2
SV032,L,58,2,3,1,1,2
SV032,L,59,2,3,0,0,2
SV032,L,60,2,3,0,1,2
SV032,L,61,3,0,1,1,2
SV032,L,62,2,3,1,1,1
SV032,L,63,2,3,0,1,2
SV032,L,64,2,2,1,1,1
SV032,L,65,2,3,1,0,2
SV032,L,66,3,0,0,1,2
SV032,L,67,3,3,0,1,2
SV032,L,68,3,3,0,0,2
SV032,L,69,3,0,1,0,3
SV032,L,70,3,3,1,0,3
SV032,L,71,2,3,1,1,2
SV032,L,72,2,0,0,0,2
SV032,L,73,2,2,1,0,2
SV032,L,74,3,2,0,0,2
SV032,L,75,2,0,1,0,2
SV032,L,76,3,2,1,0,2
SV032,L,77,3,0,0,0,2
SV032,L,78,2,3,0,1,2
SV032,L,79,3,3,1,0,2
SV032,L,80,2,3,0,1,2
SV032,L,81,3,0,0,0,2
SV032,L,82,3,2,1,1,1
SV032,L,83,2,3,1,1,2
SV032,L,84,2,0,1,0,2
SV032,L,85,2,2,1,0,2
SV032,L,86,2,2,0,1,2
SV032,L,87,2,2,0,1,1
SV032,L,88,2,0,1,0,2
SV032,L,89,3,2,1,0,2
SV032,L,90,2,0,1,1,1
SV032,L,91,2,3,1,0,2
SV032,L,92,3,0,0,0,2
SV032,L,93,3,2,0,1,1
SV032,L,94,2,2,1,0,2
SV032,L,95,2,3,1,0,2
SV032,L,96,2,0,1,0,2
SV032,L,97,2,2,0,1,1
SV032,L,98,2,0,0,1,2
SV032,L,99,3,2,0,1,1
SV032,L,100,3,0,1,0,3
SV032,L,101,2,2,1,1,1
SV032,L,102,3,2,0,0,2
SV032,L,103,3,3,1,0,3
SV032,L,104,3,3,0,0,3
SV032,L,105,2,0,1,1,2
SV032,L,106,2,0,0,0,2
SV032,L,107,3,0,1,1,2
SV032,L,108,2,0,0,1,1
SV032,L,109,3,0,0,1,1
SV032,L,110,3,0,0,1,1
SV032,L,111,2,3,0,0,2
SV032,L,112,2,0,0,0,2
SV032,L,113,3,0,1,1,2
SV032,L,114,3,3,0,1,2
SV032,L,115,3,3,1,0,2
SV032,L,116,2,0,1,0,2
SV032,L,117,2,2,0,1,1
SV032,L,118,3,3,0,0,2
SV032,L,119,2,0,1,1,2
SV032,L,120,2,0,0,1,2
SV032,L,121,2,3,0,0,2
SV032,L,122,2,2,0,1,1
SV032,L,123,2,2,0,0,2
SV032,L,124,3,0,0,1,1
SV032,L,125,3,0,0,1,2
SV032,L,126,3,3,0,0,2
SV032,L,127,2,3,1,1,2
SV032,L,128,2,2,1,1,2
SV032,L,129,2,3,1,1,2
SV032,L,130,3,0,1,1,2
SV032,L,131,3,0,1,0,3
SV032,L,132,2,0,0,0,2
SV032,L,133,3,2,0,0,2
SV032,L,134,3,3,0,1,2
SV032,L,135,3,0,1,0,3
SV032,L,136,3,3,1,1,2
SV032,L,137,3,3,1,1,2
SV032,L,138,3,0,1,1,2
SV032,L,139,2,2,1,1,1
SV032,L,140,2,0,0,0,2
SV032,L,141,3,3,1,1,2
SV032,L,142,2,2,0,1,1
SV032,L,143,2,3,1,0,2
SV032,L,144,2,0,0,0,2
SV032,L,145,2,0,1,1,1
SV032,L,146,3,0,1,1,2
SV032,L,147,3,3,0,1,1
SV032,L,148,3,0,1,1,1
SV032,L,149,2,2,1,1,1
SV032,L,150,3,2,1,1,2
SV032,L,151,3,2,0,1,2
SV032,L,152,2,2,1,1,2
SV032,L,153,3,0,0,1,2
SV032,L,154,2,3,1,1,1
SV032,L,155,2,0,1,1,1
SV032,L,156,3,0,1,0,2
