subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response
SV009,L,1,2,0,0,0,1
SV009,L,2,2,2,0,1,1
SV009,L,3,2,3,0,1,2
SV009,L,4,2,3,0,1,3
SV009,L,5,3,3,1,1,2
SV009,L,6,3,2,0,1,2
SV009,L,7,3,3,1,1,2
SV009,L,8,2,0,0,1,2
SV009,L,9,2,3,1,0,2
SV009,L,10,2,3,1,0,2
SV009,L,11,3,0,1,1,2
SV009,L,12,3,2,1,1,1
SV009,L,13,3,0,1,0,3
SV009,L,14,3,3,0,0,3
SV009,L,15,3,2,0,1,2
SV009,L,16,2,0,0,1,3
SV009,L,17,2,0,0,1,3
SV009,L,18,2,3,1,1,2
SV009,L,19,3,2,0,0,3
SV009,L,20,3,0,1,0,2
SV009,L,21,3,2,1,0,2
SV009,L,22,3,3,0,1,3
SV009,L,23,2,2,0,0,2
SV009,L,24,3,3,1,0,3
SV009,L,25,3,2,1,0,2
SV009,L,26,2,2,1,1,1
SV009,L,27,3,0,1,1,1
SV009,L,28,2,2,1,1,1
SV009,L,29,2,2,0,0,2
SV009,L,30,3,0,0,1,2
SV009,L,31,3,2,0,0,2
SV009,L,32,2,0,0,1,2
SV009,L,33,2,0,1,1,1
SV009,L,34,2,0,0,1,2
SV009,L,35,3,3,0,0,3
SV009,L,36,2,3,0,0,3
SV009,L,37,3,0,0,1,3
SV009,L,38,2,2,0,0,3
SV009,L,39,3,2,0,0,3
SV009,L,40,3,0,1,0,3
SV009,L,41,2,3,0,1,1
SV009,L,42,2,3,0,1,3
SV009,L,43,2,0,0,0,3
SV009,L,44,2,3,1,0,3
SV009,L,45,3,0,1,1,1
SV009,L,46,2,2,1,0,2
SV009,L,47,2,3,0,0,3
SV009,L,48,2,3,0,1,3
SV009,L,49,3,0,0,0,3
SV009,L,50,3,2,1,1,1
SV009,L,51,2,0,0,0,3
SV009,L,52,3,3,0,0,3
SV009,L,53,2,2,1,0,2
SV009,L,54,2,0,0,1,2
SV009,L,55,2,2,0,1,3
SV009,L,56,3,2,0,1,2
SV009,L,57,2,0,1,0,2
SV009,L,58,3,2,1,0,2
SV009,L,59,3,2,0,1,2
SV009,L,60,3,3,0,1,3
SV009,L,61,2,0,1,1,1
SV009,L,62,2,3,1,0,3
SV009,L,63,2,0,0,0,2
SV009,L,64,2,2,1,1,1
SV009,L,65,3,3,1,0,3
SV009,L,66,3,0,0,0,3
SV009,L,67,3,2,1,1,1
SV009,L,68,2,2,1,1,1
SV009,L,69,2,2,1,1,1
SV009,L,70,2,3,0,1,1
SV009,L,71,2,2,0,1,2
SV009,L,72,3,0,1,0,2
SV009,L,73,3,3,0,1,2
SV009,L,74,2,2,1,0,2
SV009,L,75,3,0,0,1,2
SV009,L,76,3,2,1,1,1
SV009,L,77,3,0,1,1,1
SV009,L,78,3,2,0,0,3
SV009,L,79,2,0,0,0,1
SV009,L,80,3,3,0,0,3
SV009,L,81,2,3,1,1,1
SV009,L,82,2,0,1,1,1
SV009,L,83,3,2,0,0,2
SV009,L,84,2,2,0,0,2
SV009,L,85,3,2,1,0,3
SV009,L,86,2,3,1,0,3
SV009,L,87,3,0,0,0,3
SV009,L,88,3,2,1,0,2
SV009,L,89,2,3,1,0,2
SV009,L,90,2,2,1,0,2
SV009,L,91,2,0,1,0,3
SV009,L,92,3,3,1,1,2
SV009,L,93,2,0,0,0,2
SV009,L,94,2,2,0,0,2
SV009,L,95,2,3,1,1,1
SV009,L,96,2,3,1,1,1
SV009,L,97,2,2,1,0,2
SV009,L,98,3,2,1,1,1
SV009,L,99,3,3,0,1,2
SV009,L,100,2,0,0,1,1
SV009,L,101,2,2,1,1,1
SV009,L,102,3,2,0,1,2
SV009,L,103,3,2,1,1,1
SV009,L,104,3,3,0,0,2
SV009,L,105,2,2,0,1,1
SV009,L,106,3,2,0,1,2
SV009,L,107,2,2,1,1,1
